b'Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,58.849998,59.799999,58.820000,59.299999,58.513622,32972200
2021-09-28,59.900002,60.480000,59.509998,59.919998,59.125397,37619300
2021-09-29,59.840000,60.189999,59.049999,59.880001,59.085930,23422800
2021-09-30,60.119999,60.169998,58.810001,58.820000,58.039986,31274800
2021-10-01,59.410000,60.990002,59.410000,60.930000,60.122005,24407300
2021-10-04,61.320000,62.070000,60.950001,61.720001,60.901531,33946700
2021-10-05,62.520000,62.700001,61.020000,61.619999,60.802856,29641600
2021-10-06,60.470001,61.119999,59.750000,60.490002,59.687843,25284900
2021-10-07,60.610001,61.080002,60.139999,60.660000,59.855587,19513600
2021-10-08,61.250000,62.419998,61.250000,62.180000,61.355431,22179100
2021-10-11,63.029999,63.060001,61.500000,61.560001,60.743652,22121500
2021-10-12,61.570000,61.980000,60.849998,61.240002,60.427898,20198600
2021-10-13,60.779999,61.389999,60.209999,61.070000,60.260151,14991700
2021-10-14,61.709999,62.220001,61.169998,62.000000,61.177818,18594500
2021-10-15,62.730000,63.070000,62.439999,62.590000,61.759995,16087500
2021-10-18,63.090000,63.139999,62.270000,62.560001,61.730392,18282800
2021-10-19,62.869999,63.610001,62.669998,63.500000,62.657925,18933200
2021-10-20,62.889999,63.869999,62.720001,63.849998,63.003281,14305200
2021-10-21,63.470001,63.639999,62.349998,62.689999,61.858665,16564600
2021-10-22,62.770000,63.220001,62.349998,63.119999,62.282963,14266800
2021-10-25,63.720001,64.419998,63.580002,64.349998,63.496651,17939800
2021-10-26,64.489998,65.940002,64.360001,65.839996,64.966888,25585100
2021-10-27,65.160004,65.250000,63.980000,64.129997,63.279568,21764500
2021-10-28,63.820000,64.470001,63.630001,64.309998,63.457180,16626400
2021-10-29,65.050003,65.360001,64.330002,64.470001,63.615063,23963300
2021-11-01,65.070000,66.080002,65.019997,65.629997,64.759674,19656400
2021-11-02,65.029999,65.449997,64.660004,64.820000,63.960419,16300000
2021-11-03,64.040001,64.449997,63.660000,63.930000,63.082222,17372800
2021-11-04,64.680000,64.889999,63.830002,64.410004,63.555862,17720100
2021-11-05,65.050003,65.330002,64.559998,65.019997,64.157768,18554600
2021-11-08,65.550003,66.379997,65.379997,65.720001,64.848488,17696000
2021-11-09,65.769997,66.370003,65.309998,66.360001,65.479996,18781300
2021-11-10,65.320000,65.650002,63.770000,64.190002,64.190002,20177200
2021-11-11,64.190002,64.830002,64.019997,64.309998,64.309998,13319300
2021-11-12,63.959999,64.370003,63.580002,63.820000,63.820000,18151900
2021-11-15,63.759998,64.769997,63.220001,64.370003,64.370003,18849200
2021-11-16,64.339996,65.370003,64.339996,65.019997,65.019997,17028700
2021-11-17,64.379997,65.239998,64.180000,64.309998,64.309998,15497000
2021-11-18,64.160004,64.529999,63.110001,63.610001,63.610001,16948200
2021-11-19,61.889999,62.029999,60.410000,60.669998,60.669998,32035500'
